# Time, Northings KDE, Eastings KDE, Yaw KDE, Northings STD, Eastings STD, Northings GT, Eastings GT, Yaw GT, Lidar observations
0.000000000000000000e+00,2.964950575115350428e-01,2.940342416264247194e-01,6.279331658951534223e+00,5.446871257578470016e-02,4.969590217168286250e-02,3.000679155622141270e-01,2.999999991794741194e-01,6.283185305569837453e+00
1.747255387025140047e+09,3.058383111041839131e-01,2.932594592721958771e-01,6.280080089596904891e+00,5.429842492874771553e-02,4.967512511306820810e-02,3.000679155622141270e-01,2.999999991794741194e-01,6.283185305569837453e+00
1.747255387280971050e+09,3.187140409615438208e-01,2.931104483218814338e-01,6.608223285056247231e-02,5.432861269631276968e-02,4.965017405782922583e-02,3.000679155622141270e-01,2.999999991794741194e-01,6.283185305569837453e+00
1.747255387617999077e+09,2.914523424378692162e-01,2.615914440757416970e-01,1.488407598134010024e-01,5.829125372441788105e-02,4.793654124396775490e-02,3.000679155622141270e-01,2.999999991794741194e-01,6.283185305569837453e+00
1.747255388136801004e+09,3.345664436615146675e-01,2.809804438184474451e-01,2.888704671027253479e-01,5.769570934253025890e-02,4.474521148551173499e-02,3.340758410673242418e-01,3.018020476782802275e-01,2.113740191848734185e-02
1.747255388846116066e+09,3.541615047651949788e-01,2.894182995684314030e-01,4.593908532918231646e-01,5.586040586352868792e-02,3.259508938528567212e-02,3.340758410673242418e-01,3.018020476782802275e-01,2.113740191848734185e-02
1.747255389710131884e+09,3.884472346234164042e-01,3.043750520876268295e-01,4.943358022993257217e-01,3.701889634877630203e-02,2.146261909958921757e-02,3.856646030212827481e-01,3.297936239132986391e-01,2.757384597413423677e-01
1.747255390652868032e+09,4.102096395470382628e-01,3.493822953380805174e-01,2.300136953564944076e-01,2.456288203070349646e-02,1.148190666788934632e-02,4.274244200807660876e-01,3.705793506636220758e-01,5.380096998400709651e-01
1.747255391528767109e+09,4.548783803925576241e-01,3.516072829385217258e-01,7.445342210777283753e-02,1.512664449488054265e-02,3.902222755706905369e-03,4.585714777601213044e-01,4.195041192742794967e-01,7.723221194595781824e-01
1.747255392406768084e+09,4.973275583954249179e-01,3.593421422870486936e-01,3.054140657931554426e-01,1.423366079306628493e-02,3.724597082860880114e-03,4.964798053430947156e-01,4.598624745392854152e-01,7.630299233848135687e-01
1.747255393359978914e+09,5.427268358606226473e-01,3.662073813274673850e-01,5.122596911053157315e-02,1.849783757775345233e-02,3.550367655032909877e-03,5.515711475489052384e-01,4.777856614382666178e-01,5.317986045813594131e-01
1.747255394323014975e+09,5.881976318451668240e-01,3.684940685841338603e-01,1.698617077466995501e-02,2.082475401600132614e-02,4.034867317795859214e-03,6.045847924268724638e-01,4.995487509470964982e-01,5.011672327436906826e-01
1.747255395489018917e+09,6.408499048594398229e-01,3.678844889185830525e-01,4.462994847392082881e-02,2.278421062728784238e-02,2.626065286150596617e-03,6.527942066646396091e-01,5.394848703438951398e-01,5.440506026540248286e-01
1.747255396740165949e+09,7.176987392391909193e-01,3.638909371779174839e-01,6.123003293762915078e+00,2.789886758869518021e-02,2.846867597908808722e-03,7.085543516613399539e-01,5.508712066078669256e-01,3.840119159683785810e-01
1.747255397968511105e+09,7.805699292968050207e-01,3.621434822423542088e-01,1.474555222906350771e-01,2.182985440026286375e-02,3.224019630508747486e-03,7.600800899580335557e-01,5.692784261978839355e-01,3.673890788358749049e-01
1.747255399156862974e+09,8.360499950954363158e-01,3.593204978990540144e-01,6.108188960489800756e+00,2.512890996550299835e-02,2.742818831542212857e-03,8.656911505091772208e-01,5.983576286326200977e-01,2.468201261950450920e-01
1.747255400488672972e+09,9.115644106638358668e-01,3.604109736702059141e-01,1.612274002990929100e-01,2.877154855683356285e-02,2.788267990302728365e-03,9.202571465205402479e-01,6.216812018047304100e-01,3.620944657947804401e-01
1.747255401968700886e+09,9.890417616815210256e-01,3.593284363671801485e-01,6.054237485581166922e+00,3.470459270445166999e-02,4.161665429476265471e-03,9.744598510294699700e-01,6.548247367942492403e-01,4.103607347722091347e-01
1.747255403435606003e+09,1.063007060952512628e+00,3.538463406413574486e-01,1.431249557932277594e-01,2.660591166916375164e-02,3.119192452601143861e-03,1.089683513206778809e+00,6.800685531420747054e-01,3.601065361794333342e-01
1.747255404874454975e+09,1.139725760283393008e+00,3.585517922125462387e-01,6.260782371063315921e+00,3.476947712302386195e-02,4.366597762687058314e-03,1.146018038998911859e+00,7.088473897333550378e-01,3.659006836256919470e-01
1.747255406419847012e+09,1.218690725117279161e+00,3.723096427361677896e-01,3.766290747937199868e-01,3.842971225386889594e-02,5.571610056417768304e-03,1.208792752922443148e+00,7.074082207217465834e-01,1.712598774579880967e-01
1.747255408110089064e+09,1.308332984609337446e+00,3.792627520627495641e-01,6.201063249443880210e+00,2.121030182206207204e-02,7.305769851016840483e-03,1.318423884568192150e+00,7.674463162358902135e-01,3.818940404615797646e-01
1.747255409915081024e+09,1.401941984990535239e+00,3.893884420554570847e-01,3.853830322409578235e-01,2.600774119636434581e-02,9.912914881005428433e-03,1.413397054768003924e+00,8.252716391157530751e-01,5.997740470585606332e-01
1.747255411968816996e+09,1.495319399309085640e+00,4.540322386939198429e-01,9.095909707916491893e-01,1.813684676779836122e-02,1.582365446987843427e-02,1.511172365463791856e+00,8.840060789569834654e-01,4.218458715424499572e-01
1.747255413939610958e+09,1.545867004409108070e+00,5.378269345635764420e-01,1.412554096838870565e+00,1.441500525393570042e-02,2.272360018280750182e-02,1.613251211794922257e+00,9.438415689818240306e-01,6.246702522458456031e-01
1.747255416469216108e+09,1.604927883465834038e+00,6.496635829887504876e-01,7.316816888962662802e-01,1.604439663282277578e-02,3.281044889227647393e-02,1.649555499076089449e+00,1.058687069842053408e+00,1.171085256546146924e+00
1.747255418805418015e+09,1.709325357955086222e+00,7.431209888270299269e-01,7.087594781263190091e-01,2.054262695879924619e-02,3.058870418255517018e-02,1.620909379562764707e+00,1.175676008881835655e+00,1.717402638801182491e+00
1.747255421115056038e+09,1.780559947350788708e+00,8.534873706637674529e-01,1.299803819227502100e+00,1.629220433007601970e-02,3.023769488432349536e-02,1.594210902444670452e+00,1.338081542305443961e+00,1.530185651002408775e+00
1.747255423841856956e+09,1.774010531801047730e+00,1.004250104924080400e+00,2.020114475326342252e+00,1.281987337926345817e-02,3.837436400575403028e-02,1.612547459688470353e+00,1.447871684687934923e+00,1.451745346737398856e+00
1.747255426082643986e+09,1.765431544008562170e+00,1.153208416643620504e+00,1.445350234152420477e+00,9.953442492267945002e-03,5.061310982976113815e-02,1.599335045757559026e+00,1.558640021807196741e+00,1.703670300349449107e+00
1.747255428857712030e+09,1.733815034852732140e+00,1.282152411791532387e+00,2.169547551649026129e+00,1.127016111053060106e-02,5.624375101207649413e-02,1.461339708967882123e+00,1.667265356272350507e+00,2.512342249664079930e+00
1.747255431714457989e+09,1.633491832861869941e+00,1.385628756232156755e+00,2.912744894136120699e+00,2.786948189222908379e-02,4.897315298250406318e-02,1.337917345151020676e+00,1.773906318314421471e+00,2.235333353362078057e+00
1.747255434315006018e+09,1.496716971482525471e+00,1.492058132490191591e+00,2.223813783057390747e+00,2.584459813463987898e-02,2.881479790088792986e-02,1.263283093926845124e+00,1.866846286090058982e+00,2.385805658994325285e+00
1.747255437520967007e+09,1.355779514283701470e+00,1.581041454824427372e+00,2.861691640847942697e+00,3.480236664363040716e-02,4.128270260041327216e-02,1.083250261819153515e+00,1.862133458864364988e+00,3.216269466914490671e+00
1.747255440219346046e+09,1.249496412167679482e+00,1.681778191369295294e+00,2.146190940456384588e+00,3.054311374430323384e-02,3.251219158258893821e-02,9.191853347974915378e-01,1.838811740720947663e+00,3.076306915212853710e+00
1.747255443332194090e+09,1.061925442058366142e+00,1.756775259004646372e+00,2.968941083091801048e+00,4.141821969496277400e-02,3.506482552243710832e-02,7.448569982840684833e-01,1.836548314978296847e+00,3.325001939785000360e+00
1.747255446442332983e+09,8.978618974757693882e-01,1.718773268767647133e+00,3.776134832541129693e+00,4.362556722837789697e-02,3.896068196839052450e-02,6.123739797867384649e-01,1.851000058765033263e+00,2.912755649990863560e+00
1.747255449278448105e+09,7.458263498527185620e-01,1.674348622060314096e+00,3.036370261467133957e+00,4.657556923365269164e-02,3.717381409302979861e-02,4.557946398498735618e-01,1.857802254526260466e+00,3.277033975220265738e+00
1.747255453013164997e+09,5.413903394793903034e-01,1.608175372646892587e+00,4.032834259560353907e+00,4.101507461781682407e-02,3.494752349940364461e-02,3.475240306000179635e-01,1.719528401440134413e+00,4.085706145605104922e+00
1.747255456181397915e+09,5.767232837257023625e-01,1.726805014839422947e+00,4.848364222960104719e+00,1.576838528458383154e-02,3.217031580274595792e-02,2.392903640119376785e-01,1.579309428480114352e+00,3.833423017880562611e+00
